,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-143.7602971936835,36.70567364962255,-219.95232261964446,-104.69535175527061,,
1,0,4.519375424258452,33.84333866752229,-79.34136191466774,44.04748985746281,1.0427286624908447,0.025232575833797455
2,1,114.48624017297689,32.19728608469915,52.761125901254616,159.44244557779746,0.03810158371925354,0.021195601671934128
3,2,156.22974052272596,29.01020792957099,109.60604594724137,200.63924723094783,0.02390263043344021,0.02287951298058033
4,3,206.67892039861027,31.064877600549988,166.8571854238129,254.82166631264454,0.015730783343315125,0.007716483436524868
5,4,248.57473045939201,35.401644419777995,189.35973485853862,290.27509195334835,0.015815818682312965,0.00985429435968399
6,5,293.8004983551867,50.13736000129911,225.7731923707926,368.25390154658385,0.007981190457940102,0.008475528098642826
7,6,307.6995932639478,33.681764609014394,229.0440597573137,354.18420699550876,0.007547627203166485,0.007387293968349695
8,7,276.02494892556007,36.07831707686331,212.54848936493892,342.8936311018486,0.007767660077661276,0.00552024831995368
9,8,331.6741837803039,41.09947129945855,279.4735673994488,403.09919759509216,0.008294673636555672,0.00825764425098896
10,9,327.71588724629044,30.757796886753695,261.8254036284037,394.435191597981,0.006046979688107967,0.006632672157138586
11,10,293.14819071061703,44.65788819300938,234.23986419364036,354.7332723564897,0.006853567901998758,0.004078940022736788
