Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
1479.2811179161072	24	-14.0053	14.631634	27.213919	-69.33959	151.0	0.0	-0.09275033	-0.09275033	-0.09275062	-0.09275062	-0.6931482	0.0014376937	6.419547e-05	8.023763e-06	0.69315463	30049	751225
1538.1907160282135	25	-13.388847	14.34509	25.027369	-60.125816	151.0	0.0	-0.08866787	-0.08866787	-0.08866858	-0.08866858	-0.69315183	0.003158552	5.7044895e-07	9.14022e-08	0.69315195	30049	781274
1596.7558100223541	26	-12.217196	13.943308	30.84161	-53.201683	151.0	0.0	-0.0809086	-0.0809086	-0.08090902	-0.08090902	-0.69314843	0.0013999674	0.00024609576	0.00010835844	0.69317305	30049	811323
1655.3858585357666	27	-8.396688	14.9109745	29.511555	-55.852776	151.0	0.0	-0.05560721	-0.05560721	-0.05560691	-0.05560691	-0.69249046	0.006391649	0.0013459569	0.00063432625	0.6926249	30049	841372
1714.233630180359	28	-2.522274	13.565341	28.506887	-44.419666	151.0	0.0	-0.0167038	-0.0167038	-0.016703678	-0.016703678	-0.69336414	0.0025405164	2.595986e-06	8.1130065e-07	0.69336444	30049	871421
1772.9192900657654	29	-0.49191087	14.712488	41.029556	-44.640896	151.0	0.0	-0.0032576881	-0.0032576881	-0.003257887	-0.003257887	-0.6929771	0.0037943753	7.03612e-05	1.962963e-05	0.6929841	30049	901470
1831.1979596614838	30	3.2347062	13.625719	38.049103	-42.797905	151.0	0.0	0.021421894	0.021421894	0.021421608	0.021421608	-0.6931478	0.0011531711	0.00018075439	5.5749944e-05	0.6931659	30049	931519
1889.2602200508118	31	7.2484016	12.958528	39.63054	-41.582806	151.0	0.0	0.04800266	0.04800266	0.048002467	0.048002467	-0.6931472	0.00018563449	0.00011631412	4.7711274e-05	0.69315886	30049	961568
1946.9487793445587	32	12.121226	13.554573	50.228897	-38.698444	151.0	0.0	0.080273025	0.080273025	0.08027299	0.08027299	-0.6931473	0.00025856498	1.02288295e-05	3.550242e-06	0.69314814	30049	991617
2004.5300433635712	33	20.3827	15.812157	54.277542	-40.42381	151.0	0.0	0.13498478	0.13498478	0.13498478	0.13498478	-0.6931473	7.4237636e-05	-1.5883131e-07	2.4199768e-08	0.69314724	30049	1021666
2061.82390165329	34	24.79446	21.7553	67.40784	-67.59851	151.0	0.0	0.16420174	0.16420174	0.16420174	0.16420174	-0.6931473	1.8834502e-06	8.4947405e-06	1.8585265e-06	0.693148	30049	1051715
2118.9102511405945	35	26.97432	15.051259	60.043587	-28.053188	151.0	0.0	0.17863789	0.17863789	0.17863789	0.17863789	-0.6931472	0.00013971329	3.3185133e-06	9.838652e-07	0.69314754	30049	1081764
2176.225416660309	36	29.41658	15.102025	69.19137	-24.392883	151.0	0.0	0.19481179	0.19481179	0.19481148	0.19481148	-0.69314855	0.0016009808	1.5799446e-07	2.763075e-08	0.6931485	30049	1111813
2233.5280425548553	37	38.183308	14.3791	81.82714	-6.532947	151.0	0.0	0.2528696	0.2528696	0.25286984	0.25286984	-0.6930193	0.0014412041	2.4788846e-05	8.239873e-06	0.69302166	30049	1141862
2291.118523836136	38	43.574482	18.707964	88.08209	-31.956793	151.0	0.0	0.28857276	0.28857276	0.28857282	0.28857282	-0.69314796	0.00078006275	0.0005830211	0.00017644317	0.6932063	30049	1171911
2348.489364385605	39	45.064846	23.4244	90.20633	-57.793747	151.0	0.0	0.29844266	0.29844266	0.29844034	0.29844034	-0.6901819	0.028347397	0.019916398	0.0073719993	0.6921735	30049	1201960
2405.5570957660675	40	49.09953	25.62034	101.34117	-36.952053	151.0	0.0	0.32516247	0.32516247	0.32516226	0.32516226	-0.6931473	0.00072348124	2.0668678e-05	8.605715e-06	0.69314945	30049	1232009
2462.705469608307	41	50.249844	25.087685	107.652245	-54.96407	151.0	0.0	0.33278042	0.33278042	0.33278102	0.33278102	-0.6931473	0.00079984695	0.000361145	0.00023443565	0.6931835	30049	1262058
2520.0171234607697	42	47.000072	22.315338	86.309715	-17.99902	151.0	0.0	0.31125876	0.31125876	0.31125876	0.31125876	-0.69314724	3.964717e-06	-8.3373186e-07	6.815505e-10	0.69314706	30049	1292107
2577.1836121082306	43	51.015903	17.100138	96.67456	6.8494883	151.0	0.0	0.33785367	0.33785367	0.33785367	0.33785367	-0.69314724	2.8272964e-07	-7.748158e-07	2.866292e-11	0.6931471	30049	1322156
2634.0931701660156	44	62.09922	22.932783	114.44992	-66.34906	151.0	0.0	0.4112531	0.4112531	0.41125315	0.41125315	-0.6931483	0.0015549959	4.7960543e-07	3.2805838e-09	0.69314843	30049	1352205
2690.9855375289917	45	70.47298	19.984447	107.3278	-26.643059	151.0	0.0	0.46670842	0.46670842	0.46670803	0.46670803	-0.6927252	0.004748492	0.00015685946	3.8412e-05	0.69274074	30049	1382254
2747.8772451877594	46	72.86384	20.454351	120.647545	-3.8842611	151.0	0.0	0.48254192	0.48254192	0.48254198	0.48254198	-0.69312423	0.003043321	0.0010342433	0.00046385874	0.69322765	30049	1412303
2804.91491150856	47	74.36882	21.850163	115.50414	-51.016514	151.0	0.0	0.4925087	0.4925087	0.49250853	0.49250853	-0.6931472	0.00025978682	9.474886e-05	3.6695146e-05	0.6931566	30049	1442352
2861.9416630268097	48	80.25728	20.802708	129.16092	1.8815641	151.0	0.0	0.5315051	0.5315051	0.5315055	0.5315055	-0.69315475	0.0038724542	0.0007740828	0.00034935848	0.69323206	30049	1472401
2919.076276540756	49	94.66746	17.003225	138.22256	6.229953	151.0	0.0	0.6269368	0.6269368	0.6269372	0.6269372	-0.69314957	0.002093401	0.00032167413	4.787446e-05	0.69318163	30049	1502450
