,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-158.02828158458055,29.376450743566664,-220.82539512622049,-116.6779803305763,,
1,0,-56.90748891054268,23.320153604401167,-102.7496501583482,-21.012618566982656,1.0507824420928955,0.0280010886490345
2,1,102.37439596659377,22.06787519933396,61.89708266670852,134.97737778696813,0.042106643319129944,0.016308903694152832
3,2,157.77002249104444,23.03688949776425,137.509951518292,203.22656091732344,0.025650471448898315,0.01658938080072403
4,3,218.58324550468993,31.735991499412194,142.44352098216,266.1094663417025,0.015958599746227264,0.013194342143833637
5,4,243.19641672886587,24.4694836016011,202.2445186662422,284.73605651708976,0.0140866469591856,0.008106626570224762
6,5,305.7753504307417,46.36520743142017,234.44347228859135,380.2963831776907,0.009318698197603226,0.00812225230038166
7,6,292.441597703939,46.600304332543445,223.864594110459,398.1991443776009,0.008553546853363514,0.006784197874367237
8,7,321.2968925773679,38.74909644458655,250.30520323353608,379.8352935774433,0.008298850618302822,0.005241831764578819
9,8,297.90645720656875,52.64139440125671,243.7866020371472,415.2630210613879,0.007163030095398426,0.006902788300067186
10,9,361.2784053797787,32.55486611420706,299.6208970995077,420.37939968815385,0.006563417613506317,0.006269120145589113
11,10,343.598532613709,45.36200410582157,287.835142049266,418.79258904673367,0.005715854465961456,0.006191719323396683
