,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-137.4093819829194,29.841922348789907,-181.51412615963295,-85.53990282860562,,
1,0,-30.528936668868045,28.878945950157007,-57.05259248484663,28.109947897952424,0.995147705078125,0.03256678208708763
2,1,73.10898046126295,24.802744726953904,42.08023561929795,115.49842627629145,0.04385713115334511,0.022236857563257217
3,2,146.0042715277961,28.122149781259605,99.55754286303954,187.82845157159772,0.024908054620027542,0.015094748698174953
4,3,208.25977493961403,12.122739113051052,189.83213747066884,236.08207938081486,0.01569903828203678,0.01752220094203949
5,4,196.12397532494546,27.44968591000073,151.65612806179814,237.13491109279443,0.016669372096657753,0.010688986629247665
6,5,247.77884223283863,35.64058791918438,190.73103565320687,306.1745495404896,0.01126999594271183,0.006902732420712709
7,6,289.05367556312683,46.88250325812773,206.7057797726628,351.41480866773196,0.009685543365776539,0.012297733686864376
8,7,289.0385786623705,24.653037578042163,253.31058770973846,344.38986764489175,0.00758271012455225,0.005477403290569782
9,8,302.42102172115386,36.58964573397559,252.5820709908121,351.56416114817046,0.0075022438541054726,0.007112555671483278
10,9,294.4087624847461,32.528704772278815,239.72719737089272,342.96753428077307,0.007541968021541834,0.006029231008142233
11,10,311.15329356769263,34.561879995054674,256.11847224857144,388.3040380908291,0.006589761469513178,0.004963243380188942
