Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
10.50310492515564	0	-291.95346746836987	-15.095159842773816	46.05207928224188	-154.71222134927282	-441.362121596908	20.0	0.0	252	10080	-293.5890377037571	-15.323846836474539
20.009380102157593	1	-288.35492822512145	-14.73907550970456	45.43482677179296	-153.1365195200623	-430.39762816970165	20.0	0.0	252	20160	-294.9896439248334	-14.738190859039728
29.12201166152954	2	-286.3415072487203	-14.525865417005864	46.15582642843996	-174.10022005554293	-451.78148080033685	20.0	0.0	252	30240	-295.1862845157911	-15.662452143469517
38.171067237854004	3	-290.8271806268286	-14.895054695750067	44.45709100825876	-163.0425867711415	-462.9751785438033	20.0	0.0	252	40320	-284.8572575415715	-13.998113306367605
47.279773473739624	4	-287.021057528147	-14.543664159048435	43.83343295444737	-159.4084793376386	-404.9002056200535	20.0	0.0	252	50400	-286.5940485306032	-14.223771902992254
56.38177037239075	5	-287.58131952895707	-14.694739138639191	45.433789718899426	-129.0929784685189	-413.95420602138	20.0	0.0	252	60480	-286.18664923455907	-14.396765850221326
65.5179877281189	6	-284.84107669133414	-14.165661038926755	44.02464764692643	-172.1087351047944	-397.55951225663284	20.0	0.0	252	70560	-276.21598955237613	-13.897132947915225
74.61403107643127	7	-281.0370831864664	-14.14087203448347	43.81376466954046	-140.10515902087974	-429.2793509673741	20.0	0.0	252	80640	-282.25933093846544	-14.172785694214511
83.74376463890076	8	-279.3656377809736	-13.694957328620605	41.06142138966041	-159.66521918951014	-378.24214110660205	20.0	0.0	252	90720	-276.1796230036605	-14.07591630876153
92.88323593139648	9	-272.9194051980419	-13.33394037717416	42.000686630222354	-144.76163578196616	-381.0947608582896	20.0	0.0	252	100800	-258.99403850376575	-12.049802564055335
102.03059196472168	10	-267.8839197553576	-12.818602258625894	40.40857937654513	-115.31178915402845	-404.24677277320876	20.0	0.0	252	110880	-256.7896934267801	-12.023257111370583
111.14862823486328	11	-260.1576271872326	-12.000649762076531	46.072946025467964	-122.4867402245969	-394.1707692916231	20.0	0.0	252	120960	-240.63411603163522	-10.669112901305306
120.2493052482605	12	-249.83238611739682	-11.287576841471143	46.62643223703566	-119.80033712230232	-388.99866236206725	20.0	0.0	252	131040	-249.47671494919868	-11.353728214367393
129.45605540275574	13	-248.3567554715372	-11.078801052081145	47.38282373897284	-110.28882460776664	-391.96322609524	20.0	0.0	252	141120	-242.58214083454894	-10.234508921142925
138.60624718666077	14	-240.57362649581637	-10.414275215290672	50.560377021485635	-98.79007738713746	-369.151935841913	20.0	0.0	252	151200	-226.27583126528182	-9.102695779015296
147.67908334732056	15	-230.6036849770981	-9.61646795315981	47.455674320434724	-101.88601204424397	-359.03269860743	20.0	0.0	252	161280	-214.76793760710748	-8.125170477365602
156.9291489124298	16	-222.07624198336714	-8.974573902540582	48.616632952752326	-112.30582535241919	-357.1562750373811	20.0	0.0	252	171360	-216.98629761615453	-7.920491528821647
166.05205869674683	17	-212.32514683976285	-8.09652881875534	51.94855790209962	-82.73547101761856	-367.97964240079705	20.0	0.0	252	181440	-187.93489397645666	-6.120673337919797
175.20718669891357	18	-199.23778750603287	-7.149938152001831	49.96713150071979	-93.67164727415303	-345.4346965096889	20.0	0.0	252	191520	-199.04844515242476	-6.584381260702618
184.31436467170715	19	-191.5667205636736	-6.8108681830574005	52.135231854647	-89.3218268187298	-327.9072611812495	20.0	0.0	252	201600	-187.67348283046263	-6.910512944734738
193.40885257720947	20	-187.0847858535744	-6.652545309108176	53.17694981020506	-86.78347096291348	-333.04718704452375	20.0	0.0	252	211680	-172.01771079906112	-6.212910229086712
202.45071959495544	21	-181.68853894807077	-6.399580162138175	52.65007542930724	-88.00530280981505	-323.56976210012897	20.0	0.0	252	221760	-160.1399664034702	-5.246598734478481
211.59965753555298	22	-168.6612380656012	-5.6593312189876315	51.26618332191	-75.24212708641171	-352.7412443584599	20.0	0.0	252	231840	-159.85877863999903	-5.4211172641952645
220.76067447662354	23	-161.27911403870493	-5.4078897559193155	47.64968864607609	-68.13634951277416	-341.02360422616476	20.0	0.0	252	241920	-160.6526482079596	-5.304794626887982
229.9937379360199	24	-158.0171068950082	-5.311895276574927	48.77767266059171	-76.4739060128002	-404.73320910135124	20.0	0.0	252	252000	-143.30540808323278	-4.7985770246568515
239.09892320632935	25	-152.39906317412346	-5.051502891064772	45.506763476320394	-70.74828110462862	-371.71769322901974	20.0	0.0	252	262080	-145.68855549992335	-4.890672258519603
248.1923689842224	26	-142.22663366585596	-4.592267433309408	46.541953834016226	-70.27540360828698	-352.55457993206005	19.99375	0.13678792892649566	252	272160	-135.7458540782036	-4.392725619750117
257.3954439163208	27	-138.76762795230587	-4.49549213191972	44.74114855591283	-55.189788206653304	-323.7317807188241	20.0	0.0	252	282240	-130.93125858777807	-3.8757834946818277
266.56599283218384	28	-136.52209869201897	-4.266228440884236	41.86564523115188	-65.29906363717026	-300.16869807133327	20.0	0.0	252	292320	-125.24031827060053	-3.734486853382807
275.6959228515625	29	-128.86644452571937	-3.885517432985294	38.80760048599319	-61.62343725016394	-242.19207134114785	20.0	0.0	252	302400	-124.63969591927518	-4.162364953357577
284.84525513648987	30	-122.39691639637931	-3.5516740222981222	38.11578729056058	-60.32455517075405	-300.19051019718097	20.0	0.0	252	312480	-121.22762518325824	-3.394568542140224
