Timestep	MeanReward100Episodes	BestMeanReward	Episodes	Exploration	LearningRate	RunningTime
7090000	20.52	20.76	3753	0.01	5e-05	0.6392603993415833
7100000	20.52	20.76	3759	0.01	5e-05	0.6392611742019654
7110000	20.49	20.76	3765	0.01	5e-05	0.6403631806373596
7120000	20.51	20.76	3771	0.01	5e-05	0.6406268954277039
7130000	20.5	20.76	3777	0.01	5e-05	0.6403734246889751
7140000	20.53	20.76	3783	0.01	5e-05	0.6416407585144043
7150000	20.55	20.76	3789	0.01	5e-05	0.6406810323397318
7160000	20.59	20.76	3796	0.01	5e-05	0.6403714338938395
7170000	20.62	20.76	3802	0.01	5e-05	0.6373648007710775
7180000	20.63	20.76	3808	0.01	5e-05	0.6387514352798462
7190000	20.64	20.76	3814	0.01	5e-05	0.6367111563682556
7200000	20.68	20.76	3820	0.01	5e-05	0.6419760068257649
7210000	20.7	20.76	3826	0.01	5e-05	0.6428860545158386
7220000	20.69	20.76	3832	0.01	5e-05	0.6409374833106994
7230000	20.69	20.76	3838	0.01	5e-05	0.6386000434557597
7240000	20.68	20.76	3844	0.01	5e-05	0.6409663041432698
7250000	20.68	20.76	3849	0.01	5e-05	0.6402100721995035
7260000	20.69	20.76	3855	0.01	5e-05	0.640471629301707
7270000	20.74	20.76	3862	0.01	5e-05	0.6423135876655579
7280000	20.77	20.77	3868	0.01	5e-05	0.639912752310435
7290000	20.75	20.77	3873	0.01	5e-05	0.6389511307080586
7300000	20.7	20.77	3880	0.01	5e-05	0.6400463302930196
7310000	20.68	20.77	3886	0.01	5e-05	0.6399561444918315
7320000	20.66	20.77	3892	0.01	5e-05	0.6394335031509399
7330000	20.62	20.77	3898	0.01	5e-05	0.6423665801684062
7340000	20.57	20.77	3904	0.01	5e-05	0.6400507728258769
7350000	20.56	20.77	3910	0.01	5e-05	0.6397873679796855
7360000	20.59	20.77	3916	0.01	5e-05	0.6369478623072307
7370000	20.55	20.77	3922	0.01	5e-05	0.6389913121859233
7380000	20.52	20.77	3928	0.01	5e-05	0.6408239801724752
7390000	20.54	20.77	3934	0.01	5e-05	0.6413937131563823
7400000	20.54	20.77	3940	0.01	5e-05	0.6393149455388387
7410000	20.55	20.77	3946	0.01	5e-05	0.6397263010342916
7420000	20.55	20.77	3952	0.01	5e-05	0.6417264342308044
7430000	20.5	20.77	3958	0.01	5e-05	0.6380328138669332
7440000	20.49	20.77	3964	0.01	5e-05	0.6401426871617635
7450000	20.5	20.77	3970	0.01	5e-05	0.6416694402694703
7460000	20.55	20.77	3976	0.01	5e-05	0.6380598982175191
7470000	20.56	20.77	3982	0.01	5e-05	0.640275796254476
