Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
25.82078528404236	0	-345.39453	184.28133	150.19997	-772.59937	108.01078167115902	27.988540053414805	40072	40072
50.217453479766846	1	-266.0306	156.47429	178.32513	-705.27686	109.31693989071039	38.134333847048325	40010	80082
74.91053676605225	2	-221.16316	128.44061	169.21338	-602.18665	112.72112676056338	40.33693975241014	40016	120098
99.32960939407349	3	-197.96234	116.52609	148.76128	-595.44653	118.28613569321534	36.896700447955894	40099	160197
124.88570380210876	4	-169.19695	96.97521	160.08444	-487.64386	122.99386503067484	60.893903200769834	40096	200293
148.8823504447937	5	-170.62822	95.41758	139.46722	-529.1046	120.62048192771084	31.654201871999362	40046	240339
174.40656161308289	6	-138.57144	104.01908	193.38113	-557.0063	123.78703703703704	62.83449516451035	40107	280446
200.1161732673645	7	-135.02422	85.39112	202.2681	-430.8468	128.01597444089458	69.284497529046	40069	320515
227.04819321632385	8	-124.03886	90.46823	222.79892	-487.73047	130.52768729641693	81.36235182996413	40072	360587
253.56530857086182	9	-101.280396	98.587814	213.84877	-402.96347	131.28852459016395	66.28024480885331	40043	400630
279.92735528945923	10	-91.956635	110.22311	184.41821	-362.0111	144.19424460431654	66.42466146190478	40086	440716
308.59554982185364	11	-90.182526	113.14785	247.22133	-335.4681	160.86746987951807	89.29933926967264	40056	480772
340.0726761817932	12	-60.382214	129.26074	217.24225	-458.49365	198.4950495049505	140.1993011212914	40096	520868
377.0324020385742	13	-52.19655	128.73064	209.0193	-329.35278	242.0843373493976	190.14900338845095	40186	561054
412.74549078941345	14	-54.16714	114.35067	218.89761	-255.3974	233.41860465116278	158.1043933252668	40148	601202
450.4040415287018	15	-55.15654	120.43683	193.97902	-291.37888	289.0431654676259	199.09897291156537	40177	641379
494.16468334198	16	-43.458256	126.36955	222.98318	-301.38065	322.53543307086613	239.046557428701	40962	682341
532.9956996440887	17	-62.654472	124.84061	200.73044	-344.0647	315.79527559055117	209.82832647632014	40106	722447
574.024650812149	18	-40.47415	132.32336	230.03233	-293.87836	329.5409836065574	204.50989585022987	40204	762651
619.7834265232086	19	-50.741142	117.50809	223.51985	-229.59134	370.6330275229358	264.17528447515934	40399	803050
672.3975977897644	20	-31.527815	135.57979	208.1045	-348.48352	402.37	290.03491703586315	40237	843287
723.7454664707184	21	-36.195652	134.11322	242.51334	-310.59256	466.32183908045977	282.86487957639287	40570	883857
779.6940522193909	22	-30.918627	124.82086	222.08531	-278.63367	536.4078947368421	315.9013494261335	40767	924624
833.4133539199829	23	-28.622835	142.56432	203.08597	-314.01056	527.328947368421	324.5063614719041	40077	964701
890.9181048870087	24	-41.020752	137.86986	229.21982	-318.8575	561.5972222222222	340.26022148587583	40435	1005136
947.6880843639374	25	-45.912853	144.14229	195.37973	-338.1917	585.1884057971015	312.42345267059886	40378	1045514
1001.6960453987122	26	6.548411	146.49268	219.87042	-326.52316	546.8513513513514	319.7014097827734	40467	1085981
1057.2006676197052	27	0.05667899	129.86067	238.07831	-274.5679	573.7857142857143	346.14406137400334	40165	1126146
1108.7661712169647	28	24.52663	141.97359	243.54977	-284.33096	489.4457831325301	300.8778823253372	40624	1166770
1163.7279489040375	29	32.54862	133.26672	234.50923	-330.72635	467.735632183908	324.10671081407014	40693	1207463
1217.5973434448242	30	18.604218	119.66944	217.85773	-336.59152	510.35	337.4570380063216	40828	1248291
1269.6730008125305	31	41.559925	131.48013	235.40929	-331.35187	507.746835443038	336.86027860243803	40112	1288403
1322.6236577033997	32	62.06112	117.38876	220.12036	-163.7411	413.55670103092785	289.94606569463434	40115	1328518
1372.5049631595612	33	58.102486	115.04238	225.12514	-196.50807	483.32530120481925	343.9602844975802	40116	1368634
