,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-159.91498464135876,33.97375232084356,-241.6293457740013,-107.84506865001006,,
1,0,-40.44988525319903,18.663295160334407,-65.12908843457802,-13.104475670287533,0.9955774545669556,0.024483349174261093
2,1,10.601898416258488,19.626520929643657,-17.99005669010037,49.50211665767965,0.03309178352355957,0.018349921330809593
3,2,32.8701389148653,33.90382102778668,-31.09510428575483,85.6967332149132,0.02255786396563053,0.016476888209581375
4,3,37.65615563950284,26.144689740196057,-0.4606692892385922,78.10799084564994,0.015258905477821827,0.0113899577409029
5,4,91.40062983882116,29.17442145633835,29.70561401153374,131.9940907133386,0.011696739122271538,0.008259986527264118
6,5,71.90697093346935,29.269191400814147,27.880184670114076,132.96646851904174,0.008283299393951893,0.007746356539428234
7,6,88.50613361921246,34.77931647793946,37.88527240082339,136.68473615443878,0.007529424969106913,0.006768924184143543
8,7,121.23091454861364,14.519821811683617,97.27730076408851,150.34107736353565,0.007776383310556412,0.005652293562889099
9,8,68.81564070378676,21.19457358256221,35.78661837741945,112.47458628056268,0.006711337715387344,0.005595099646598101
10,9,85.36603024991811,36.10099080861845,37.91088022524695,148.41298962427732,0.006360142026096582,0.004892160650342703
11,10,103.06446890252752,31.175981459258892,56.882990687388464,152.25638797692767,0.004573351703584194,0.004153532907366753
