,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-165.46368417910298,29.866804610667607,-219.15577217697663,-115.63856255022407,,
1,0,-35.86159168269365,39.69154237742739,-108.11547299564548,12.192526956723052,0.9955465197563171,0.026793379336595535
2,1,69.62389153389094,25.521888233482414,35.30206692376309,121.37897101337803,0.04195838421583176,0.024534717202186584
3,2,148.62947838426754,25.88982080755291,110.22831843710003,180.73589521205554,0.024175411090254784,0.012428478337824345
4,3,190.7978069151476,17.84756174891024,161.96735571191851,219.35140600707723,0.014958379790186882,0.007358895149081945
5,4,252.46990838823223,41.77050470081634,190.53387444725394,315.2442348886383,0.01270211674273014,0.009331452660262585
6,5,303.62902119679654,27.167172410443985,260.6297146694658,343.6773218811258,0.010031795129179955,0.006964955944567919
7,6,240.20060897691633,37.91432832637045,185.8814258291293,315.3876147292289,0.010300162248313427,0.008809808641672134
8,7,271.7272723102174,34.351543496140785,215.35266289117754,325.4873253476257,0.008337995037436485,0.006597352214157581
9,8,299.8926447656666,44.509287441390626,219.61477343868353,366.67548283057187,0.007197932805866003,0.0054634008556604385
10,9,347.1316614237693,47.96183721615662,231.98260182417494,405.5629655151498,0.005697808228433132,0.005886347033083439
11,10,355.3443037350996,22.03699835603187,313.98691037576657,395.5219120661677,0.006453892681747675,0.005052851513028145
