Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
29.352283477783203	0	-168.70038402913107	-9.217732515797717	67.73030538679161	-32.8710047222158	-363.79994026528885	20.0	0.0	1008	10017	-178.59072510189898	-9.777803178722207
56.96739625930786	1	-168.118309187821	-9.124230872199224	66.01635413387005	-21.77395012271505	-354.34382085574066	20.0	0.0	1008	20034	-176.0156302886779	-9.947490430648477
85.21926188468933	2	-164.64227826114382	-8.678052441304867	65.78982054486411	-27.38906116077158	-335.8358614978477	20.0	0.0	1008	30051	-158.3275057304636	-8.591225896889618
113.53359031677246	3	-160.94766529439747	-8.505443991447574	65.09081026972808	-30.552408276158076	-354.21455131506565	20.0	0.0	1008	40068	-157.640131214403	-8.015157494289406
141.85996389389038	4	-162.75541512223717	-8.507868724491685	64.26807956488015	-29.785485719634742	-338.42588933914374	20.0	0.0	1008	50085	-166.7308431214476	-8.934656468891268
170.27897143363953	5	-159.70839140144312	-8.19138054135947	59.858376486082264	-27.11059806806503	-342.5233418512422	19.9958071278826	0.09147766972440848	1008	60102	-159.90021791228125	-8.12519382637485
198.67216444015503	6	-159.36697532856726	-8.299737899218126	66.23029219319636	-25.170983717631675	-327.6088202456211	20.0	0.0	1008	70119	-161.6427346484513	-8.879174194096695
227.0709352493286	7	-160.76036282886417	-8.120102174504016	62.93161533861651	-29.630598737989164	-326.0470931662382	20.0	0.0	1008	80136	-159.8261436105362	-8.853123372467278
255.46220779418945	8	-162.27179526502144	-8.423752602345546	68.18359518997397	-27.17387271666631	-361.8863317168377	20.0	0.0	1008	90153	-153.06733769551678	-8.140740457254529
283.8849034309387	9	-156.27228150328037	-7.8832074738008755	62.02635586357369	-25.266453144391473	-363.17108053649343	20.0	0.0	1008	100170	-155.9706099304685	-7.912966185160106
323.64733958244324	10	-158.9734038044712	-8.065898443841752	62.738097134181785	-21.52981157308571	-353.63430239502065	20.0	0.0	1008	110187	-160.45290208880377	-8.303917471371955
374.86592149734497	11	-159.57011057776566	-8.051473777180723	63.40341529988382	-23.179750799490737	-356.04946202495273	20.0	0.0	1008	120204	-171.19138791656496	-8.902717899229629
428.7554750442505	12	-158.66408752656906	-8.039075478822646	60.88824180695507	-26.21023375543016	-325.1553088257027	20.0	0.0	1008	130221	-157.59859394621023	-7.400188806825696
482.6346757411957	13	-160.2205567158634	-8.052441228960161	60.301876533574074	-17.754783705485327	-333.23248605203355	20.0	0.0	1008	140238	-176.31038311261418	-8.829056923464561
535.0935111045837	14	-152.56337316523673	-7.682388626007387	59.548461282853054	-22.26868155436535	-327.0627878213226	20.0	0.0	1008	150255	-154.91203679637357	-7.8438372873780375
587.6905407905579	15	-162.43005581130447	-8.07408604718889	60.799995786534616	-22.21116694414456	-340.0116592514281	20.0	0.0	1008	160272	-154.50325746750244	-7.861430669616847
640.7069098949432	16	-154.48483512360252	-7.570306617188895	63.39575749954443	-29.6483725812525	-354.1329842890732	20.0	0.0	1008	170289	-168.10232706107178	-8.412835994192093
693.5077328681946	17	-155.40252429382264	-7.770142542291794	60.831208829250016	-34.61212806413858	-310.2689729918368	20.0	0.0	1008	180306	-137.9732155765644	-6.915180033266064
745.7171444892883	18	-157.0635074949791	-7.800238899172904	61.46543530959837	-17.146523836902457	-332.2862809190982	20.0	0.0	1008	190323	-156.78890423069177	-7.760626873693994
797.9993636608124	19	-154.8287749722787	-7.499503859167645	62.17376459235582	-21.048489221816386	-325.61139768284687	20.0	0.0	1008	200340	-153.0458958930585	-7.992511912729853
850.3378939628601	20	-153.1701937626716	-7.619642834987054	61.04514262223255	-28.21521945750777	-314.7977761192611	20.0	0.0	1008	210357	-137.02428508840842	-6.61082984993291
