,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-147.2163006922498,29.846014787393088,-208.77822946551066,-97.09266306112781,,
1,0,55.2164595766562,31.504365203802244,0.4863178331166367,102.62894405566288,1.0689424276351929,0.03229872137308121
2,1,121.82828949527948,22.684430604355057,86.76888631981606,155.74793132051175,0.05051879212260246,0.024784032255411148
3,2,179.70522712669515,35.32291423620017,132.13237656193377,252.83595348354046,0.022872980684041977,0.013474994339048862
4,3,232.52236550570373,35.24540798316335,171.8094579260413,283.4876622295553,0.016946960240602493,0.010439894162118435
5,4,260.1542199830966,29.16624347435122,205.3319029514061,317.9554595753026,0.016454491764307022,0.008989134803414345
6,5,339.84812644892065,44.01517242547134,253.96458304837782,419.20427056409267,0.01193200796842575,0.010525193996727467
7,6,334.08931436744217,39.30455034914639,284.388658381591,406.4155224815803,0.010229344479739666,0.006293432787060738
8,7,351.8611706131526,27.09079593834703,299.67952950435665,387.4241808257468,0.006982958409935236,0.005853688810020685
9,8,366.8490339411301,33.97895198861215,318.159529961414,451.5695115381799,0.0078124431893229485,0.007090538274496794
10,9,396.0556294699133,27.72056897915215,344.90268654777077,435.0187884767522,0.007761220447719097,0.008938698098063469
11,10,442.48238070560603,54.04726131454044,366.91048898472377,551.8750627910449,0.0076407804153859615,0.006064239889383316
