Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
10.393719673156738	0	-290.7462481208014	-14.90112913343756	49.76890365702829	-150.1491915016805	-419.27126349185966	20.0	0.0	252	10080	-295.4022095950517	-15.783277629417478
19.786988258361816	1	-290.6226937509281	-14.993546470665107	47.306274921724594	-134.560394819872	-427.15117600789137	20.0	0.0	252	20160	-273.9362944588708	-13.376416402693517
28.984078645706177	2	-287.6006287095315	-14.777906670355375	46.742753054165114	-145.36370434430475	-404.3816160475028	20.0	0.0	252	30240	-305.3508390551022	-16.020655020938715
37.88190293312073	3	-283.22866058098776	-14.336985824073174	48.58954081955947	-151.08528668060032	-436.88248084088457	20.0	0.0	252	40320	-292.974853593203	-15.246996686562364
46.98469161987305	4	-284.2469339495276	-14.164730944175217	44.452754840557745	-133.39062081971178	-422.7295500957568	20.0	0.0	252	50400	-277.9226180432551	-13.81018896193536
55.990803480148315	5	-280.7953684377735	-13.955919826492288	48.80434988496828	-135.58027419951938	-445.7517917031918	20.0	0.0	252	60480	-273.7405502661199	-13.012894139558902
65.17083668708801	6	-270.4927645220221	-13.20161000511188	45.0775481702109	-134.874842550566	-422.3533700709103	20.0	0.0	252	70560	-264.625078304379	-13.31521957569826
74.30640506744385	7	-268.8069138943387	-12.890166699827748	44.95146355013923	-147.35394110481644	-429.40552731582693	20.0	0.0	252	80640	-259.53661669232713	-12.143114804022877
83.32565379142761	8	-261.28684040738875	-12.34586714400516	46.523403179163516	-131.94741508508193	-430.5539418856676	20.0	0.0	252	90720	-254.48247588119784	-11.86751103425478
92.40463519096375	9	-253.82403665382884	-11.65202279805094	42.803169970732014	-103.84509379853809	-374.59814141214935	20.0	0.0	252	100800	-242.50155310163413	-10.77573660272999
101.49496936798096	10	-242.63878500891352	-10.8272108775303	44.48301399220184	-122.6954058064046	-379.53747132268717	20.0	0.0	252	110880	-233.92389891756525	-9.67342508456056
110.5935640335083	11	-230.5127371484952	-9.707385620435478	44.07472812787061	-105.28191149713399	-375.88407095512866	20.0	0.0	252	120960	-230.42959679261813	-9.25887935364947
119.69133877754211	12	-226.0598541520838	-9.266967944751634	43.4554428563576	-105.58798056113119	-359.34550352051565	20.0	0.0	252	131040	-211.5956353446144	-8.269704726568307
128.73369240760803	13	-216.80661679215368	-8.56468437232744	42.28435009853483	-106.77924812790916	-354.0311250545443	20.0	0.0	252	141120	-215.06063864672203	-8.33721121473191
137.8174192905426	14	-206.2547208971861	-8.000628589516484	41.363324394559115	-97.08970378116567	-410.0919439783212	20.0	0.0	252	151200	-188.9015077815039	-6.395980797451236
146.89815068244934	15	-198.66161349482925	-7.467371686103008	42.02626753248755	-111.15467639656161	-329.2654399633535	20.0	0.0	252	161280	-200.32479694750782	-7.223931406233216
156.08154368400574	16	-192.39381198722654	-6.930836665512531	38.66179845338472	-102.78429148422231	-321.29589389600545	20.0	0.0	252	171360	-185.49542324635806	-6.889253520748643
165.16887950897217	17	-179.7583213636138	-6.168788506821619	38.3567267101122	-98.82356372288969	-298.5808680321491	20.0	0.0	252	181440	-172.47177202225598	-5.607891382373123
174.3537359237671	18	-169.53277638085132	-5.603655726636203	36.748086772066586	-94.53881995923608	-306.4877114973445	20.0	0.0	252	191520	-164.6659636499006	-5.481963613093363
183.53894901275635	19	-163.02499667766477	-5.209536064760863	36.70900526944513	-88.76420974838518	-286.0626353975482	20.0	0.0	252	201600	-144.05629706155614	-4.73733977960594
192.66771578788757	20	-153.15444246677467	-4.760545793001397	35.230923653065034	-74.13303686069874	-289.26646615005035	20.0	0.0	252	211680	-140.17922416425446	-4.271867367297997
201.7008147239685	21	-146.30319450292748	-4.473212680827138	35.10448844096075	-74.25422329555545	-272.45708446204	20.0	0.0	252	221760	-133.10478741040856	-3.842573867928703
210.88675022125244	22	-138.24817866787825	-4.103057376442612	32.24792606999848	-76.21156999915549	-268.13624347219206	20.0	0.0	252	231840	-135.58274188413142	-3.813747640670933
219.9990737438202	23	-133.38146011384393	-3.8778543878886835	31.010675471634972	-79.37956556299736	-273.7776188711386	20.0	0.0	252	241920	-123.83106964984195	-3.7901538809704234
229.0429549217224	24	-129.18038516658802	-3.6865783660170184	30.48277443237602	-64.00863945461889	-246.23522089309506	20.0	0.0	252	252000	-120.26853202960815	-3.095430035937118
238.12566900253296	25	-121.57599772145585	-3.2852167571764648	28.846868532020373	-69.33799097439541	-300.8168288765047	20.0	0.0	252	262080	-110.57800209016727	-2.795116597311624
247.30338859558105	26	-113.8751545218039	-2.9033624581054984	23.582746356853583	-66.10630840513153	-222.9996194062938	20.0	0.0	252	272160	-109.13500577525757	-2.9409535808370233
256.4392650127411	27	-112.01760659598797	-2.7760394001964426	28.012406018351726	-61.352796569901955	-310.7087978478151	20.0	0.0	252	282240	-101.52911692771356	-2.8828744728273556
265.5349838733673	28	-106.10818095683226	-2.768671421222044	23.534060329739855	-62.676182543316884	-253.68272373816626	20.0	0.0	252	292320	-105.77025415996371	-2.622852170930653
274.60046195983887	29	-101.10690774297022	-2.6969107678975752	20.92676491692649	-58.363081127169785	-232.0421893607744	20.0	0.0	252	302400	-94.29339534077701	-2.563481188501993
283.66687202453613	30	-95.16516067056487	-2.4990087647488255	19.02635515023715	-61.9414315527694	-191.27138228301277	20.0	0.0	252	312480	-92.75811010373606	-2.642488541351342
292.72310400009155	31	-92.66597462693171	-2.3872722546208434	19.524492954711395	-58.288272739836536	-199.07268413508382	20.0	0.0	252	322560	-88.82119323933551	-2.2168170268375875
