Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
596.5728402137756	36	31.81092	22.467085	82.6851	-52.88385	151.0	0.0	0.21066834	0.21066834	0.21066834	0.21066834	30049	1111813
612.4341225624084	37	35.006065	26.854542	84.81109	-49.707695	151.0	0.0	0.23182824	0.23182824	0.23182824	0.23182824	30049	1141862
628.450071811676	38	44.580307	24.39682	97.98391	-50.765556	151.0	0.0	0.2952338	0.2952338	0.2952338	0.2952338	30049	1171911
644.39768409729	39	50.786285	23.294159	101.42667	-54.216297	151.0	0.0	0.336333	0.336333	0.336333	0.336333	30049	1201960
660.3505003452301	40	49.038246	26.313019	96.15169	-87.54784	151.0	0.0	0.32475662	0.32475662	0.32475662	0.32475662	30049	1232009
676.3596131801605	41	59.514282	25.482513	122.10634	-71.29324	151.0	0.0	0.3941343	0.3941343	0.3941343	0.3941343	30049	1262058
692.3407392501831	42	62.582138	29.27782	115.9045	-95.788284	151.0	0.0	0.41445124	0.41445124	0.41445124	0.41445124	30049	1292107
708.1899604797363	43	68.29738	21.904594	117.69217	0.24057388	151.0	0.0	0.4523005	0.4523005	0.4523005	0.4523005	30049	1322156
724.232932806015	44	66.37215	24.149984	113.2101	-26.407778	151.0	0.0	0.4395506	0.4395506	0.4395506	0.4395506	30049	1352205
740.0396318435669	45	57.945263	25.886322	112.49335	-36.664364	151.0	0.0	0.3837435	0.3837435	0.3837435	0.3837435	30049	1382254
756.1331188678741	46	65.099945	23.776054	115.820816	-31.465004	151.0	0.0	0.4311255	0.4311255	0.4311255	0.4311255	30049	1412303
772.0633001327515	47	74.46206	20.595192	110.918976	-16.273031	151.0	0.0	0.49312615	0.49312615	0.49312615	0.49312615	30049	1442352
788.1268763542175	48	83.34611	18.601898	126.85245	16.089172	151.0	0.0	0.55196095	0.55196095	0.55196095	0.55196095	30049	1472401
804.0304639339447	49	84.86191	18.893036	121.49134	22.241108	151.0	0.0	0.56199944	0.56199944	0.56199944	0.56199944	30049	1502450
820.0847752094269	50	86.74789	25.033306	125.30724	-12.007902	151.0	0.0	0.5744894	0.5744894	0.5744894	0.5744894	30049	1532499
836.0144693851471	51	88.23757	27.073553	135.23546	-15.339932	151.0	0.0	0.58435476	0.58435476	0.58435476	0.58435476	30049	1562548
852.0878596305847	52	53.92122	38.00669	134.35942	-35.509163	151.0	0.0	0.3570942	0.3570942	0.3570942	0.3570942	30049	1592597
868.0050237178802	53	68.37267	26.178991	112.79332	-30.524687	151.0	0.0	0.4527992	0.4527992	0.4527992	0.4527992	30049	1622646
884.0236656665802	54	79.5155	19.66651	121.769516	7.9008865	151.0	0.0	0.52659273	0.52659273	0.52659273	0.52659273	30049	1652695
899.9175152778625	55	89.72203	24.697887	139.88269	-13.446518	151.0	0.0	0.5941856	0.5941856	0.5941856	0.5941856	30049	1682744
915.8574411869049	56	100.76808	20.747719	139.98917	-12.101686	151.0	0.0	0.66733825	0.66733825	0.66733825	0.66733825	30049	1712793
931.791305065155	57	99.152855	23.429668	154.55646	13.821415	151.0	0.0	0.6566414	0.6566414	0.6566414	0.6566414	30049	1742842
947.8051631450653	58	99.039536	19.224424	139.70648	-22.038101	151.0	0.0	0.6558909	0.6558909	0.6558909	0.6558909	30049	1772891
963.8287365436554	59	104.54519	15.869607	146.62839	43.837948	151.0	0.0	0.69235224	0.69235224	0.69235224	0.69235224	30049	1802940
979.7681016921997	60	104.74428	16.252205	140.40384	23.034706	151.0	0.0	0.69367063	0.69367063	0.69367063	0.69367063	30049	1832989
995.7443542480469	61	102.89539	19.57144	146.6813	28.568268	151.0	0.0	0.68142647	0.68142647	0.68142647	0.68142647	30049	1863038
1011.7337799072266	62	98.12158	22.318453	145.49072	-6.191348	151.0	0.0	0.64981174	0.64981174	0.64981174	0.64981174	30049	1893087
1027.7342081069946	63	107.07432	21.767862	151.54413	10.662586	151.0	0.0	0.7091014	0.7091014	0.7091014	0.7091014	30049	1923136
1043.7064762115479	64	118.37787	28.63443	161.34122	-19.964073	151.0	0.0	0.7839594	0.7839594	0.7839594	0.7839594	30049	1953185
1059.630315065384	65	116.28149	28.788225	161.10207	-32.4428	151.0	0.0	0.770076	0.770076	0.770076	0.770076	30049	1983234
1075.64431142807	66	119.197136	23.879612	154.95175	-20.572302	151.0	0.0	0.789385	0.789385	0.789385	0.789385	30049	2013283
1091.712378025055	67	120.54702	19.917147	161.9619	50.116226	151.0	0.0	0.7983247	0.7983247	0.7983247	0.7983247	30049	2043332
1107.5511932373047	68	117.008064	25.143118	169.32726	14.500122	151.0	0.0	0.7748878	0.7748878	0.7748878	0.7748878	30049	2073381
1123.4176573753357	69	116.019554	24.635	159.95428	28.548151	151.0	0.0	0.7683414	0.7683414	0.7683414	0.7683414	30049	2103430
1139.3105273246765	70	125.93359	19.858032	162.22394	39.26827	151.0	0.0	0.8339973	0.8339973	0.8339973	0.8339973	30049	2133479
1155.2610278129578	71	134.61676	20.027367	173.93033	12.542107	151.0	0.0	0.89150184	0.89150184	0.89150184	0.89150184	30049	2163528
1171.3080370426178	72	126.003746	29.807001	171.57474	15.597046	151.0	0.0	0.83446187	0.83446187	0.83446187	0.83446187	30049	2193577
1187.3003189563751	73	130.08408	24.104204	177.95544	28.728348	151.0	0.0	0.86148405	0.86148405	0.86148405	0.86148405	30049	2223626
1203.256593465805	74	133.57605	18.49691	168.2752	55.10191	151.0	0.0	0.8846096	0.8846096	0.8846096	0.8846096	30049	2253675
1219.2824883460999	75	125.964676	15.458947	162.14093	51.69157	151.0	0.0	0.83420306	0.83420306	0.83420306	0.83420306	30049	2283724
1235.2451012134552	76	129.06656	19.09492	187.81836	41.441868	151.0	0.0	0.8547454	0.8547454	0.8547454	0.8547454	30049	2313773
1251.1275701522827	77	130.8182	22.943558	173.14667	-26.692917	151.0	0.0	0.8663458	0.8663458	0.8663458	0.8663458	30049	2343822
1267.1676874160767	78	130.79008	23.429197	173.37791	1.3305111	151.0	0.0	0.86615956	0.86615956	0.86615956	0.86615956	30049	2373871
1283.2411587238312	79	132.98584	17.360065	178.58807	50.086353	151.0	0.0	0.88070095	0.88070095	0.88070095	0.88070095	30049	2403920
1299.2131509780884	80	135.2247	21.310389	180.3471	-16.608822	151.0	0.0	0.8955278	0.8955278	0.8955278	0.8955278	30049	2433969
1315.1830179691315	81	127.57068	23.350513	170.2807	19.619202	151.0	0.0	0.84483886	0.84483886	0.84483886	0.84483886	30049	2464018
1331.1255493164062	82	127.91012	20.48681	180.92645	24.586155	151.0	0.0	0.8470868	0.8470868	0.8470868	0.8470868	30049	2494067
1346.9969489574432	83	137.32141	12.991737	172.7951	94.87782	151.0	0.0	0.9094133	0.9094133	0.9094133	0.9094133	30049	2524116
1362.9762880802155	84	138.28062	13.985285	178.99991	89.93623	151.0	0.0	0.91576564	0.91576564	0.91576564	0.91576564	30049	2554165
1378.9323217868805	85	141.61765	16.574293	184.26433	32.54352	151.0	0.0	0.937865	0.937865	0.937865	0.937865	30049	2584214
1394.8777823448181	86	141.60039	19.617939	190.93161	37.660477	151.0	0.0	0.9377509	0.9377509	0.9377509	0.9377509	30049	2614263
1410.9516847133636	87	135.94913	21.899319	174.84747	-1.893074	151.0	0.0	0.9003253	0.9003253	0.9003253	0.9003253	30049	2644312
1426.996924161911	88	136.03021	25.335327	179.60023	-5.088464	151.0	0.0	0.90086234	0.90086234	0.90086234	0.90086234	30049	2674361
1442.9933042526245	89	141.70451	21.81189	179.27332	52.51333	151.0	0.0	0.9384404	0.9384404	0.9384404	0.9384404	30049	2704410
1458.9573826789856	90	140.65956	17.94002	180.09735	57.67975	151.0	0.0	0.9315204	0.9315204	0.9315204	0.9315204	30049	2734459
1474.9007580280304	91	142.14294	17.256617	180.74104	49.079823	151.0	0.0	0.94134396	0.94134396	0.94134396	0.94134396	30049	2764508
1490.81520986557	92	145.23853	20.421171	195.0403	39.425114	151.0	0.0	0.9618446	0.9618446	0.9618446	0.9618446	30049	2794557
1506.6895265579224	93	146.30913	20.35828	181.36018	66.43574	151.0	0.0	0.9689347	0.9689347	0.9689347	0.9689347	30049	2824606
1522.5945553779602	94	134.52686	19.406057	177.4886	68.91419	151.0	0.0	0.89090633	0.89090633	0.89090633	0.89090633	30049	2854655
1538.583134651184	95	133.77403	23.160315	194.55257	2.1121159	151.0	0.0	0.8859207	0.8859207	0.8859207	0.8859207	30049	2884704
1554.5488712787628	96	145.68796	22.271662	189.84177	31.772577	151.0	0.0	0.96482086	0.96482086	0.96482086	0.96482086	30049	2914753
1570.5073132514954	97	154.18016	20.414951	193.19395	45.787243	151.0	0.0	1.0210607	1.0210607	1.0210607	1.0210607	30049	2944802
1586.4498946666718	98	155.57855	22.320753	192.67628	47.593735	151.0	0.0	1.0303216	1.0303216	1.0303216	1.0303216	30049	2974851
1601.4196977615356	99	155.42499	28.747898	204.39587	-8.151178	151.0	0.0	1.0293045	1.0293045	1.0293045	1.0293045	30049	3004900
