,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-153.4134684992908,39.56050212956642,-218.0657838069402,-89.71960018851297,,
1,0,-13.339325454822989,31.348198397283117,-57.160980638298426,54.50993956958203,1.010773777961731,0.025554902851581573
2,1,87.40040215084571,24.10802717891032,56.1766500059955,141.8714813702889,0.05309281870722771,0.017801834270358086
3,2,155.56601146330948,46.99674989718664,87.76427876796194,225.73828012107356,0.02626989223062992,0.01426874753087759
4,3,239.01598521675197,33.16445961667093,179.62325086131503,281.6226223829994,0.016374560073018074,0.015161650255322456
5,4,234.45245209684703,39.94778388079442,165.92283082442435,296.251136799067,0.015124867670238018,0.010481652803719044
6,5,281.3114413863632,26.603684638559052,240.16018151478517,327.52813801454937,0.010436726734042168,0.008945681154727936
7,6,274.08235694439475,57.34116845971401,191.9209296097732,383.2330873225602,0.008045325055718422,0.007606657687574625
8,7,328.86971708118824,39.13663613339919,268.1244200712733,397.52549701085303,0.008365467190742493,0.006567292846739292
9,8,308.8531348914402,31.8611137699376,248.0229612918016,349.64729907848675,0.008835354819893837,0.008215054869651794
10,9,290.8624939676553,42.56246096280222,209.8429121008069,373.9903126924072,0.005424882285296917,0.006581889931112528
11,10,379.04280859999085,46.653190180623916,315.68863792495654,456.4486669100672,0.005475752986967564,0.005155827384442091
