,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-146.34963487869726,30.22294401688121,-200.06075936161807,-102.17374640540991,,
1,0,-70.57223847865446,16.104250546504037,-87.25066449535105,-33.47156683986953,1.045964002609253,0.028310514986515045
2,1,-7.660184958432893,21.315618923486564,-41.12698156352783,33.88780602203496,0.03561478853225708,0.01620245911180973
3,2,29.519246296370955,23.00520640092445,-4.4676016967572565,74.50198893188671,0.021717678755521774,0.014589761383831501
4,3,49.932250590617386,23.98000039290632,2.359880760299915,87.51021912695066,0.012961162254214287,0.006606052163988352
5,4,57.48155771684278,16.92180298175363,29.033661946454828,93.13815999269372,0.010295143350958824,0.007332473061978817
6,5,58.198569159290116,28.646271210085622,21.919511596054896,118.12666464255382,0.007868332788348198,0.00629440788179636
7,6,116.86967740001344,22.06191032185877,87.89205021166023,167.38492231292153,0.005723036825656891,0.004386910703033209
8,7,114.23516401631437,31.870643828185862,67.88588476804676,162.54613914250564,0.005250184331089258,0.003889717860147357
9,8,115.65941400052577,20.79011825227855,89.25223636516453,162.4097200742511,0.004877587780356407,0.004270643927156925
10,9,111.37830890425786,22.323091287870685,69.9256912394944,142.4324205976168,0.00415336899459362,0.0034026179928332567
11,10,128.73262107778874,21.464407993811715,98.36771443083202,170.59033648478183,0.0038044401444494724,0.002867464441806078
