,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-138.8021403310901,23.846341047604295,-173.55770155096863,-90.99458146501675,,
1,0,10.048862369576893,17.137932369492475,-18.223162773811428,34.25298423951527,1.0395498275756836,0.028360266238451004
2,1,90.70865551381499,24.514746656013294,43.27481265894741,120.23142212497525,0.03690316528081894,0.01662173494696617
3,2,138.7834088749396,34.74831659107329,89.46669110115673,203.1703153669211,0.022189565002918243,0.014075580053031445
4,3,193.7672628507682,37.3772438699901,109.69795910306378,252.72814707746733,0.01864546909928322,0.011796415783464909
5,4,252.68666169898717,41.65613617942396,175.8032578159236,342.66090914220456,0.014952875673770905,0.009023304097354412
6,5,238.240596151357,30.237890005005905,188.44093608032205,276.3173499044344,0.010101918131113052,0.006939676124602556
7,6,261.29323405986804,35.15899491661395,215.97068921815406,319.14670077074794,0.007922254502773285,0.0064814742654562
8,7,295.21997587872454,31.935656292361635,251.04329358630142,356.6494049349513,0.008396968245506287,0.008017657324671745
9,8,341.16128058696063,48.01542089896952,273.3114442656068,426.03367508215274,0.00697103887796402,0.0056508490815758705
10,9,380.217752037307,48.347710500117344,295.049960850126,462.25990167909885,0.0063650356605648994,0.006253252737224102
11,10,336.5797777622593,44.120731340378185,283.65608414824385,426.7130519685106,0.007843803614377975,0.0045158760622143745
