Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
525.34929895401	0	-172.9630700990071	-9.561077006497937	65.22705023005257	-33.89817931540069	-364.569664746298	20.0	0.0	1020	10020	-151.78813989943282	-8.302871007160725
1053.9338002204895	1	-174.6136222442247	-9.226811576124904	67.0122971943376	-27.568917490164903	-364.0226165905277	20.0	0.0	1020	20040	-149.4012652773897	-8.360068225061084
1580.6653280258179	2	-165.78169657573073	-8.75228059089717	62.37905803005235	-33.749707777833635	-333.7100023738819	20.0	0.0	1020	30060	-157.20222920002072	-8.009950002100972
2107.4535768032074	3	-168.08224207715142	-8.720091928404742	66.61204515197797	-28.943040711029568	-378.4311342850312	20.0	0.0	1020	40080	-170.64330421378008	-8.907861104441553
2634.6873791217804	4	-161.79286081991756	-8.393829829320087	64.76030739488789	-36.76621376062375	-406.04822903597056	20.0	0.0	1020	50100	-149.81775696477737	-7.618946279458703
3161.1933176517487	5	-161.45747394115818	-8.213125234231567	63.31774979569558	-25.561808450189936	-360.51166028150806	20.0	0.0	1020	60120	-170.43294653010065	-8.309839360784425
3688.2122869491577	6	-167.16805125808023	-8.400639624490243	65.93397462633436	-36.604354544769826	-342.5979990579089	20.0	0.0	1020	70140	-185.667552041385	-9.508747862231113
4215.515458106995	7	-155.16977350376536	-7.545096118758192	62.950082571309004	-32.25849910246957	-350.9422869553274	20.0	0.0	1020	80160	-165.24255977576414	-8.526076207520719
4742.71062541008	8	-151.61215197447478	-7.480424811242276	66.42680091256682	-35.58287818124802	-341.1324856936525	20.0	0.0	1020	90180	-149.01570426610152	-7.207226667237971
5268.556035757065	9	-152.03022334663945	-7.163105221969874	59.42369276513229	-23.861044303749857	-356.7798384411757	20.0	0.0	1020	100200	-157.86620010320306	-6.999427014200062
