Iteration	Time	TimestepsThisBatch	PoolSize	MaxEpReturn	LastEpReturn	Episodes	TimestepsSoFar
0	6.040870428085327	1000	2000	-159.7785350500008	-159.7785350500008	2	2000
1	11.66677212715149	1000	3000	-159.7785350500008	-328.7738445708908	3	3000
2	17.32795786857605	1000	4000	-159.7785350500008	-166.7908335576975	4	4000
3	23.024827003479004	1000	5000	-159.7785350500008	-288.8259718602747	5	5000
4	28.73863458633423	1000	6000	-151.15945957097836	-151.15945957097836	6	6000
5	34.33558249473572	1000	7000	-151.15945957097836	-205.10621045982714	7	7000
6	40.01234531402588	1000	8000	-151.15945957097836	-271.44236732522313	8	8000
7	45.70103740692139	1000	9000	-77.16891891702741	-77.16891891702741	9	9000
8	51.38458204269409	1000	10000	-77.16891891702741	-131.74326376905202	10	10000
9	57.06720566749573	1000	11000	-77.16891891702741	-139.37738643292212	11	11000
10	62.742595195770264	1000	12000	-77.16891891702741	-114.13379395157529	12	12000
11	68.44115591049194	1000	13000	-77.16891891702741	-171.18259310561123	13	13000
12	74.0962872505188	1000	14000	-77.16891891702741	-77.92774328755588	14	14000
13	79.790931224823	1000	15000	100.53820063567954	100.53820063567954	15	15000
14	85.43507981300354	1000	16000	108.8118833453966	108.8118833453966	16	16000
15	91.08892607688904	1000	17000	108.8118833453966	-160.5670494441995	17	17000
16	96.80735182762146	1000	18000	108.8118833453966	-58.72271080365028	18	18000
17	102.56579446792603	1000	19000	108.8118833453966	-82.6336530077035	19	19000
18	108.26920962333679	1000	20000	108.8118833453966	61.958918031552116	20	20000
19	114.0040135383606	1000	21000	231.17363679012055	231.17363679012055	21	21000
20	119.6084771156311	1000	22000	231.17363679012055	154.61033581271477	22	22000
21	125.38625502586365	1000	23000	231.17363679012055	85.02908237719019	23	23000
22	131.0480272769928	1000	24000	231.17363679012055	148.58538234855507	24	24000
23	136.72024583816528	1000	25000	231.17363679012055	180.38825143220535	25	25000
24	142.41328692436218	1000	26000	297.5766285515253	297.5766285515253	26	26000
25	148.13169741630554	1000	27000	330.689316855081	330.689316855081	27	27000
26	153.84470462799072	1000	28000	400.81667736764854	400.81667736764854	28	28000
27	159.62827587127686	1000	29000	400.81667736764854	120.14578759393257	29	29000
28	165.35363698005676	1000	30000	400.81667736764854	377.4078473248452	30	30000
29	171.06845140457153	1000	31000	400.81667736764854	345.1299501779593	31	31000
30	176.74806189537048	1000	32000	400.81667736764854	66.1323558498223	32	32000
31	182.50274515151978	1000	33000	400.81667736764854	-184.61819421671277	33	33000
32	188.23107814788818	1000	34000	400.81667736764854	310.9364363642661	34	34000
33	193.9663543701172	1000	35000	400.81667736764854	73.40732879251584	35	35000
34	199.69468808174133	1000	36000	509.2634707933182	509.2634707933182	36	36000
35	205.5060863494873	1000	37000	761.0770588786881	761.0770588786881	37	37000
36	211.66224193572998	1000	38000	761.0770588786881	637.0056181337849	38	38000
37	217.83897614479065	1000	39000	761.0770588786881	182.30362891999565	39	39000
38	224.02773761749268	1000	40000	761.0770588786881	86.2566956560751	40	40000
39	230.2086842060089	1000	41000	891.7477302275383	891.7477302275383	41	41000
40	236.3907926082611	1000	42000	902.5858393102469	902.5858393102469	42	42000
41	242.58243608474731	1000	43000	902.5858393102469	85.91411915320754	43	43000
42	248.74960279464722	1000	44000	902.5858393102469	857.2833028913564	44	44000
43	254.9119758605957	1000	45000	1064.4580663309732	1064.4580663309732	45	45000
44	261.083624124527	1000	46000	1198.5578120348139	1198.5578120348139	46	46000
45	267.2610580921173	1000	47000	1198.5578120348139	1156.2886201300119	47	47000
46	273.4308567047119	1000	48000	1198.5578120348139	307.87457209039144	48	48000
47	279.61335492134094	1000	49000	1199.1061676635688	1199.1061676635688	49	49000
48	285.8197247982025	1000	50000	1516.9458996013038	1516.9458996013038	50	50000
49	291.99414324760437	1000	51000	1516.9458996013038	127.14846687623944	51	51000
50	298.1830348968506	1000	52000	1530.0956677105135	1530.0956677105135	52	52000
51	304.35884046554565	1000	53000	1530.0956677105135	1343.013685136872	53	53000
52	310.5334243774414	1000	54000	1530.0956677105135	-73.33125400167813	54	54000
53	316.7195017337799	1000	55000	1530.0956677105135	599.7826727689002	55	55000
54	322.89595317840576	1000	56000	1530.0956677105135	914.3083353580914	56	56000
55	329.08564853668213	1000	57000	1530.0956677105135	523.1801691911589	57	57000
56	335.2631199359894	1000	58000	1530.0956677105135	1224.4952401322923	58	58000
57	341.4420380592346	1000	59000	1531.713681507937	1531.713681507937	59	59000
58	347.6083550453186	1000	60000	1531.713681507937	1437.985860157884	60	60000
59	353.7790915966034	1000	61000	1531.713681507937	1421.7296466921537	61	61000
60	359.9449028968811	1000	62000	1531.713681507937	14.04768792015298	62	62000
61	366.1128180027008	1000	63000	1548.8110396257644	1548.8110396257644	63	63000
62	372.2948257923126	1000	64000	1611.1436413841827	1611.1436413841827	64	64000
63	378.478013753891	1000	65000	1611.1436413841827	-130.3859868375149	65	65000
64	384.6581082344055	1000	66000	1611.1436413841827	723.6331460487112	66	66000
65	390.8171503543854	1000	67000	1611.1436413841827	968.4765036980294	67	67000
66	396.986234664917	1000	68000	1611.1436413841827	190.4982510670049	68	68000
67	403.15444135665894	1000	69000	1611.1436413841827	80.42904330998337	69	69000
68	409.33215975761414	1000	70000	1611.1436413841827	418.4285046927774	70	70000
69	415.51047945022583	1000	71000	1611.1436413841827	1501.8280326445433	71	71000
70	421.6945915222168	1000	72000	1611.1436413841827	402.08778799746113	72	72000
71	427.86776781082153	1000	73000	1819.7824416782523	1819.7824416782523	73	73000
72	434.06063580513	1000	74000	1819.7824416782523	1804.4477164251077	74	74000
73	440.2356798648834	1000	75000	1819.7824416782523	316.8994177785714	75	75000
74	446.4243252277374	1000	76000	1839.4841821381674	1839.4841821381674	76	76000
75	452.61736607551575	1000	77000	1839.4841821381674	926.2692472018513	77	77000
76	458.81813168525696	1000	78000	1839.4841821381674	1652.5919163832743	78	78000
77	464.99848675727844	1000	79000	1839.4841821381674	-68.0625145497524	79	79000
78	471.1691451072693	1000	80000	1839.4841821381674	1561.3599574184818	80	80000
79	477.3387622833252	1000	81000	1839.4841821381674	1436.1274633806904	81	81000
80	483.5158848762512	1000	82000	2004.8945464451117	2004.8945464451117	82	82000
81	489.7070527076721	1000	83000	2004.8945464451117	1775.2740658415344	83	83000
82	495.8938126564026	1000	84000	2004.8945464451117	918.1990048421591	84	84000
83	502.07097911834717	1000	85000	2094.109405637992	2094.109405637992	85	85000
84	508.2500350475311	1000	86000	2094.109405637992	770.6322579469173	86	86000
85	514.4396593570709	1000	87000	2094.109405637992	2087.606182210262	87	87000
86	520.634687423706	1000	88000	2094.109405637992	1738.472964682798	88	88000
87	526.8123409748077	1000	89000	2094.109405637992	1931.741699763347	89	89000
88	532.983095407486	1000	90000	2094.109405637992	1961.5567421961373	90	90000
89	539.1654009819031	1000	91000	2094.109405637992	1526.9152722899112	91	91000
90	545.3551778793335	1000	92000	2129.935740881121	2129.935740881121	92	92000
91	551.545125246048	1000	93000	2129.935740881121	2052.725553318986	93	93000
92	557.7184371948242	1000	94000	2129.935740881121	1939.8901821192658	94	94000
93	563.9020004272461	1000	95000	2129.935740881121	1533.3766248339966	95	95000
94	570.0783615112305	1000	96000	2129.935740881121	1665.2151652824582	96	96000
95	576.2696380615234	1000	97000	2129.935740881121	1954.3934881697107	97	97000
96	582.4506602287292	1000	98000	2228.8340467577373	2228.8340467577373	98	98000
97	588.6266305446625	1000	99000	2228.8340467577373	2057.718095269851	99	99000
98	594.8104472160339	1000	100000	2228.8340467577373	2117.269972437189	100	100000
99	600.9810445308685	1000	101000	2228.8340467577373	2141.2589037646508	101	101000
100	607.1701400279999	1000	102000	2228.8340467577373	2157.4951281504427	102	102000
101	613.3327693939209	1000	103000	2228.8340467577373	2192.286766607825	103	103000
102	619.5250384807587	1000	104000	2310.4328257010516	2310.4328257010516	104	104000
103	625.7144076824188	1000	105000	2501.87602096976	2501.87602096976	105	105000
104	631.8947672843933	1000	106000	2567.684117986284	2567.684117986284	106	106000
105	638.0847880840302	1000	107000	2567.684117986284	2359.6089536222767	107	107000
106	644.2595591545105	1000	108000	2567.684117986284	2238.247523963359	108	108000
107	650.4564123153687	1000	109000	2567.684117986284	227.87619683438322	109	109000
108	656.6490290164948	1000	110000	2567.684117986284	2224.160525260295	110	110000
109	662.8249452114105	1000	111000	2567.684117986284	2392.37296029881	111	111000
110	669.0059490203857	1000	112000	2567.684117986284	2377.0468673669875	112	112000
111	675.1729435920715	1000	113000	2567.684117986284	842.772231397188	113	113000
112	681.3476865291595	1000	114000	2567.684117986284	2378.519293030844	114	114000
113	687.529435634613	1000	115000	2567.684117986284	2484.4929721648778	115	115000
114	693.7121348381042	1000	116000	2567.684117986284	2375.1671909574525	116	116000
115	699.9002406597137	1000	117000	2609.0429034122817	2609.0429034122817	117	117000
116	706.0791001319885	1000	118000	2609.0429034122817	2285.9258710253116	118	118000
117	712.272055387497	1000	119000	2609.0429034122817	2385.637877341825	119	119000
118	718.4628312587738	1000	120000	2609.0429034122817	2583.437564641911	120	120000
119	724.6397001743317	1000	121000	2691.162608124834	2691.162608124834	121	121000
120	730.83287358284	1000	122000	2691.162608124834	2383.675089855442	122	122000
121	737.0188109874725	1000	123000	2691.162608124834	2527.9714968440962	123	123000
122	743.2085950374603	1000	124000	2752.4729586846233	2752.4729586846233	124	124000
123	749.4034857749939	1000	125000	2752.4729586846233	2488.2029814300436	125	125000
124	755.5956869125366	1000	126000	2759.369619736273	2759.369619736273	126	126000
125	761.7799122333527	1000	127000	2759.369619736273	2499.086434218875	127	127000
126	767.9772155284882	1000	128000	2759.369619736273	2740.8860996475687	128	128000
127	774.1568806171417	1000	129000	2759.369619736273	2606.0891789063126	129	129000
128	780.3385746479034	1000	130000	2759.369619736273	2417.5480460633175	130	130000
129	786.5361516475677	1000	131000	2759.369619736273	1057.7174456834261	131	131000
130	792.7234115600586	1000	132000	2759.369619736273	2438.441112307089	132	132000
131	798.9187602996826	1000	133000	2759.369619736273	792.0988407225103	133	133000
132	805.1088969707489	1000	134000	2759.369619736273	2667.7121878871717	134	134000
133	811.298121213913	1000	135000	2889.416785536945	2889.416785536945	135	135000
134	817.4768676757812	1000	136000	2889.416785536945	2878.0476565417916	136	136000
135	823.6474678516388	1000	137000	2889.416785536945	2657.1993065618854	137	137000
136	829.8434331417084	1000	138000	2889.416785536945	2610.7974692538755	138	138000
137	836.0319089889526	1000	139000	2889.416785536945	1998.0872065993037	139	139000
138	842.2464289665222	1000	140000	2889.416785536945	2685.7025644159526	140	140000
139	848.418625831604	1000	141000	2889.416785536945	2774.5556915051034	141	141000
140	854.6056079864502	1000	142000	2919.730170961656	2919.730170961656	142	142000
141	860.7926445007324	1000	143000	2919.730170961656	2767.2372666665624	143	143000
142	866.9686934947968	1000	144000	3060.8217356344653	3060.8217356344653	144	144000
143	873.1563746929169	1000	145000	3060.8217356344653	3054.010588702981	145	145000
144	879.3612883090973	1000	146000	3118.0809536157262	3118.0809536157262	146	146000
145	885.5527744293213	1000	147000	3118.0809536157262	3030.316212126054	147	147000
146	891.7341125011444	1000	148000	3118.0809536157262	2939.825645558693	148	148000
147	897.9189009666443	1000	149000	3118.0809536157262	2801.452313596446	149	149000
148	904.1075396537781	1000	150000	3167.395554039784	3167.395554039784	150	150000
149	910.2934648990631	1000	151000	3167.395554039784	2786.315024269496	151	151000
150	916.4926187992096	1000	152000	3167.395554039784	2928.0278929121087	152	152000
151	922.6903009414673	1000	153000	3167.395554039784	1011.9946657159796	153	153000
152	928.9007065296173	1000	154000	3167.395554039784	3133.157899041482	154	154000
153	935.0999476909637	1000	155000	3167.395554039784	2857.1530954964146	155	155000
154	941.2764987945557	1000	156000	3167.395554039784	2940.947327773029	156	156000
155	947.4933044910431	1000	157000	3167.395554039784	2933.5605016789455	157	157000
156	953.6979949474335	1000	158000	3167.395554039784	2977.336957958655	158	158000
157	959.8816907405853	1000	159000	3167.395554039784	2967.667230236144	159	159000
158	966.0711410045624	1000	160000	3270.106194518714	3270.106194518714	160	160000
159	972.2412214279175	1000	161000	3270.106194518714	3160.428447018564	161	161000
160	978.4219543933868	1000	162000	3270.106194518714	3224.4165146953587	162	162000
161	984.6005935668945	1000	163000	3272.9448404590407	3272.9448404590407	163	163000
162	990.7735424041748	1000	164000	3272.9448404590407	3103.4371959971954	164	164000
163	996.9664163589478	1000	165000	3272.9448404590407	3103.600302065295	165	165000
164	1003.1505198478699	1000	166000	3272.9448404590407	2860.992165800896	166	166000
165	1009.3339495658875	1000	167000	3272.9448404590407	3087.096714608756	167	167000
166	1015.5257241725922	1000	168000	3272.9448404590407	3079.944920548157	168	168000
167	1021.7157847881317	1000	169000	3272.9448404590407	3043.833892607956	169	169000
168	1027.8909406661987	1000	170000	3272.9448404590407	3107.1655638490683	170	170000
169	1034.057548046112	1000	171000	3272.9448404590407	2197.9283808060036	171	171000
170	1040.2615220546722	1000	172000	3334.605929319197	3334.605929319197	172	172000
171	1046.4425163269043	1000	173000	3334.605929319197	3235.198447012652	173	173000
172	1052.6376585960388	1000	174000	3334.605929319197	2931.865047052708	174	174000
173	1058.8061797618866	1000	175000	3334.605929319197	3145.6186206323396	175	175000
174	1065.009352684021	1000	176000	3334.605929319197	2591.238622430955	176	176000
175	1071.1918165683746	1000	177000	3334.605929319197	2864.7815444042362	177	177000
176	1077.4053525924683	1000	178000	3334.605929319197	3040.813764702554	178	178000
177	1083.602079153061	1000	179000	3334.605929319197	1787.0449563205066	179	179000
178	1089.7899293899536	1000	180000	3334.605929319197	-240.98646426355972	180	180000
179	1095.9895820617676	1000	181000	3334.605929319197	1765.0923199451713	181	181000
180	1102.175495147705	1000	182000	3334.605929319197	2353.0045573796388	182	182000
181	1108.3737258911133	1000	183000	3334.605929319197	1472.380617357563	183	183000
182	1114.5699322223663	1000	184000	3334.605929319197	2324.6533604010347	184	184000
183	1120.7394721508026	1000	185000	3334.605929319197	2120.391546148632	185	185000
184	1126.941543340683	1000	186000	3334.605929319197	2181.642894216174	186	186000
185	1133.1423449516296	1000	187000	3334.605929319197	2302.5194364079757	187	187000
186	1139.3436357975006	1000	188000	3334.605929319197	426.63875018484975	188	188000
187	1145.5232026576996	1000	189000	3334.605929319197	1149.3035217127779	189	189000
188	1151.7175555229187	1000	190000	3334.605929319197	1459.3169102198983	190	190000
189	1157.9038729667664	1000	191000	3334.605929319197	2046.7991956287244	191	191000
190	1164.1010971069336	1000	192000	3334.605929319197	2064.8693044652246	192	192000
191	1170.3070266246796	1000	193000	3334.605929319197	1897.4921633262231	193	193000
192	1176.5085990428925	1000	194000	3334.605929319197	1049.8318905012693	194	194000
193	1182.7238290309906	1000	195000	3334.605929319197	76.14592533280673	195	195000
194	1188.9186913967133	1000	196000	3334.605929319197	2107.467618758438	196	196000
